timestamp,date,provider,model,input_tokens,output_tokens,cost_usd
2026-01-24T02:22:50.332604,2026-01-24,mistral,mistral-large-latest,242,0,0.000484
2026-01-24T02:22:53.935304,2026-01-24,mistral,mistral-large-latest,251,0,0.000502
2026-01-24T02:22:54.885102,2026-01-24,mistral,mistral-large-latest,271,0,0.000542
2026-01-24T02:22:55.724766,2026-01-24,mistral,mistral-large-latest,259,0,0.000518
2026-01-24T02:22:56.604350,2026-01-24,mistral,mistral-large-latest,255,0,0.000510
2026-01-24T02:22:57.545199,2026-01-24,mistral,mistral-large-latest,253,0,0.000506
2026-01-24T02:22:58.416964,2026-01-24,mistral,mistral-large-latest,243,0,0.000486
2026-01-24T02:22:59.280660,2026-01-24,mistral,mistral-large-latest,240,0,0.000480
2026-01-24T02:23:00.120549,2026-01-24,mistral,mistral-large-latest,256,0,0.000512
2026-01-24T02:23:01.333242,2026-01-24,mistral,mistral-large-latest,249,0,0.000498
2026-01-24T02:23:02.357599,2026-01-24,mistral,mistral-large-latest,250,0,0.000500
2026-01-24T02:23:03.264224,2026-01-24,mistral,mistral-large-latest,248,0,0.000496
2026-01-24T02:23:04.083444,2026-01-24,mistral,mistral-large-latest,234,0,0.000468
2026-01-24T02:23:04.924616,2026-01-24,mistral,mistral-large-latest,241,0,0.000482
2026-01-24T02:23:05.839679,2026-01-24,mistral,mistral-large-latest,240,0,0.000480
2026-01-24T02:23:06.690021,2026-01-24,mistral,mistral-large-latest,215,0,0.000430
2026-01-24T02:23:07.578770,2026-01-24,mistral,mistral-large-latest,239,0,0.000478
2026-01-24T02:23:08.499018,2026-01-24,mistral,mistral-large-latest,276,0,0.000552
2026-01-24T02:23:09.675885,2026-01-24,mistral,mistral-large-latest,259,0,0.000518
2026-01-24T02:23:10.549786,2026-01-24,mistral,mistral-large-latest,257,0,0.000514
2026-01-24T02:23:11.423686,2026-01-24,mistral,mistral-large-latest,251,0,0.000502
2026-01-24T02:23:12.310435,2026-01-24,mistral,mistral-large-latest,266,0,0.000532
2026-01-24T02:23:13.188343,2026-01-24,mistral,mistral-large-latest,230,0,0.000460
2026-01-24T02:23:14.037714,2026-01-24,mistral,mistral-large-latest,231,0,0.000462
2026-01-24T02:23:14.941168,2026-01-24,mistral,mistral-large-latest,260,0,0.000520
2026-01-24T02:23:15.803690,2026-01-24,mistral,mistral-large-latest,237,0,0.000474
2026-01-24T02:24:16.807956,2026-01-24,mistral,mistral-large-latest,258,0,0.000516
2026-01-24T02:24:18.030888,2026-01-24,mistral,mistral-large-latest,255,0,0.000510
2026-01-24T02:24:18.909741,2026-01-24,mistral,mistral-large-latest,248,0,0.000496
2026-01-24T02:24:19.813137,2026-01-24,mistral,mistral-large-latest,244,0,0.000488
2026-01-24T02:24:20.693628,2026-01-24,mistral,mistral-large-latest,236,0,0.000472
2026-01-24T02:24:21.801620,2026-01-24,mistral,mistral-large-latest,251,0,0.000502
2026-01-24T02:24:22.758683,2026-01-24,mistral,mistral-large-latest,234,0,0.000468
2026-01-24T02:24:23.985441,2026-01-24,mistral,mistral-large-latest,268,0,0.000536
2026-01-24T02:24:24.879717,2026-01-24,mistral,mistral-large-latest,239,0,0.000478
2026-01-24T02:24:25.757346,2026-01-24,mistral,mistral-large-latest,249,0,0.000498
2026-01-24T02:24:26.645300,2026-01-24,mistral,mistral-large-latest,254,0,0.000508
2026-01-24T02:24:27.486963,2026-01-24,mistral,mistral-large-latest,240,0,0.000480
2026-01-24T02:24:28.806285,2026-01-24,mistral,mistral-large-latest,246,0,0.000492
2026-01-24T02:24:29.620691,2026-01-24,mistral,mistral-large-latest,238,0,0.000476
2026-01-24T02:24:30.791499,2026-01-24,mistral,mistral-large-latest,233,0,0.000466
2026-01-24T02:24:31.704907,2026-01-24,mistral,mistral-large-latest,319,0,0.000638
2026-01-24T02:24:32.598819,2026-01-24,mistral,mistral-large-latest,271,0,0.000542
2026-01-24T02:24:33.585714,2026-01-24,mistral,mistral-large-latest,291,0,0.000582
2026-01-24T02:24:34.518966,2026-01-24,mistral,mistral-large-latest,231,0,0.000462
2026-01-24T02:24:35.384169,2026-01-24,mistral,mistral-large-latest,244,0,0.000488
2026-01-24T02:24:36.243283,2026-01-24,mistral,mistral-large-latest,232,0,0.000464
2026-01-24T02:24:37.182814,2026-01-24,mistral,mistral-large-latest,222,0,0.000444
2026-01-24T02:24:38.058212,2026-01-24,mistral,mistral-large-latest,226,0,0.000452
2026-01-24T02:24:38.996897,2026-01-24,mistral,mistral-large-latest,229,0,0.000458
2026-01-24T02:24:39.945088,2026-01-24,mistral,mistral-large-latest,237,0,0.000474
2026-01-24T02:24:41.043409,2026-01-24,mistral,mistral-large-latest,235,0,0.000470
2026-01-24T02:24:42.178054,2026-01-24,mistral,mistral-large-latest,338,0,0.000676
2026-01-24T02:24:43.016570,2026-01-24,mistral,mistral-large-latest,233,0,0.000466
2026-01-24T02:24:44.450361,2026-01-24,mistral,mistral-large-latest,209,0,0.000418
2026-01-24T02:24:45.318513,2026-01-24,mistral,mistral-large-latest,192,0,0.000384
2026-01-24T02:24:46.189379,2026-01-24,mistral,mistral-large-latest,228,0,0.000456
2026-01-24T02:24:47.288358,2026-01-24,mistral,mistral-large-latest,239,0,0.000478
2026-01-24T02:24:48.419711,2026-01-24,mistral,mistral-large-latest,228,0,0.000456
2026-01-24T02:24:49.338981,2026-01-24,mistral,mistral-large-latest,228,0,0.000456
2026-01-24T02:24:50.288060,2026-01-24,mistral,mistral-large-latest,236,0,0.000472
2026-01-24T02:24:51.155644,2026-01-24,mistral,mistral-large-latest,250,0,0.000500
2026-01-24T02:24:52.059207,2026-01-24,mistral,mistral-large-latest,228,0,0.000456
2026-01-24T02:24:52.948376,2026-01-24,mistral,mistral-large-latest,254,0,0.000508
2026-01-24T02:24:53.823576,2026-01-24,mistral,mistral-large-latest,234,0,0.000468
2026-01-24T02:24:54.661271,2026-01-24,mistral,mistral-large-latest,239,0,0.000478
2026-01-24T02:24:55.882155,2026-01-24,mistral,mistral-large-latest,249,0,0.000498
2026-01-24T02:24:57.006979,2026-01-24,mistral,mistral-large-latest,245,0,0.000490
2026-01-24T02:24:58.151723,2026-01-24,mistral,mistral-large-latest,239,0,0.000478
2026-01-24T02:24:59.011017,2026-01-24,mistral,mistral-large-latest,261,0,0.000522
2026-01-24T02:24:59.889406,2026-01-24,mistral,mistral-large-latest,236,0,0.000472
2026-01-24T02:25:00.889037,2026-01-24,mistral,mistral-large-latest,235,0,0.000470
2026-01-24T02:25:03.916222,2026-01-24,mistral,mistral-large-latest,257,0,0.000514
2026-01-24T02:25:04.777077,2026-01-24,mistral,mistral-large-latest,235,0,0.000470
2026-01-24T02:25:05.633720,2026-01-24,mistral,mistral-large-latest,242,0,0.000484
2026-01-24T02:25:06.539085,2026-01-24,mistral,mistral-large-latest,251,0,0.000502
2026-01-24T02:25:07.420039,2026-01-24,mistral,mistral-large-latest,271,0,0.000542
2026-01-24T02:25:08.311697,2026-01-24,mistral,mistral-large-latest,259,0,0.000518
2026-01-24T02:25:09.440102,2026-01-24,mistral,mistral-large-latest,255,0,0.000510
2026-01-24T02:25:10.344670,2026-01-24,mistral,mistral-large-latest,253,0,0.000506
2026-01-24T02:25:11.224980,2026-01-24,mistral,mistral-large-latest,243,0,0.000486
2026-01-24T02:25:12.098379,2026-01-24,mistral,mistral-large-latest,240,0,0.000480
2026-01-24T02:25:12.966991,2026-01-24,mistral,mistral-large-latest,256,0,0.000512
2026-01-24T02:25:13.853976,2026-01-24,mistral,mistral-large-latest,249,0,0.000498
2026-01-24T02:25:14.751023,2026-01-24,mistral,mistral-large-latest,250,0,0.000500
2026-01-24T02:25:15.658521,2026-01-24,mistral,mistral-large-latest,248,0,0.000496
2026-01-24T02:25:16.489027,2026-01-24,mistral,mistral-large-latest,234,0,0.000468
2026-01-24T02:25:17.336978,2026-01-24,mistral,mistral-large-latest,241,0,0.000482
2026-01-24T02:25:18.448727,2026-01-24,mistral,mistral-large-latest,240,0,0.000480
2026-01-24T02:25:19.454712,2026-01-24,mistral,mistral-large-latest,215,0,0.000430
2026-01-24T02:25:22.787391,2026-01-24,mistral,mistral-large-latest,239,0,0.000478
2026-01-24T02:25:23.683953,2026-01-24,mistral,mistral-large-latest,276,0,0.000552
2026-01-24T02:25:24.614253,2026-01-24,mistral,mistral-large-latest,259,0,0.000518
2026-01-24T02:25:25.473386,2026-01-24,mistral,mistral-large-latest,257,0,0.000514
2026-01-24T02:25:26.410695,2026-01-24,mistral,mistral-large-latest,251,0,0.000502
2026-01-24T02:25:27.357782,2026-01-24,mistral,mistral-large-latest,266,0,0.000532
2026-01-24T02:25:28.200725,2026-01-24,mistral,mistral-large-latest,230,0,0.000460
2026-01-24T02:25:29.056322,2026-01-24,mistral,mistral-large-latest,231,0,0.000462
2026-01-24T02:25:30.025589,2026-01-24,mistral,mistral-large-latest,260,0,0.000520
2026-01-24T02:25:30.890558,2026-01-24,mistral,mistral-large-latest,237,0,0.000474
2026-01-24T02:25:31.761804,2026-01-24,mistral,mistral-large-latest,258,0,0.000516
2026-01-24T02:25:32.633077,2026-01-24,mistral,mistral-large-latest,255,0,0.000510
2026-01-24T02:25:33.977550,2026-01-24,mistral,mistral-large-latest,248,0,0.000496
2026-01-24T02:25:34.856844,2026-01-24,mistral,mistral-large-latest,244,0,0.000488
2026-01-24T02:25:35.759035,2026-01-24,mistral,mistral-large-latest,236,0,0.000472
2026-01-24T02:25:36.601017,2026-01-24,mistral,mistral-large-latest,251,0,0.000502
2026-01-24T02:25:37.641187,2026-01-24,mistral,mistral-large-latest,234,0,0.000468
2026-01-24T02:25:38.517558,2026-01-24,mistral,mistral-large-latest,268,0,0.000536
2026-01-24T02:25:39.504054,2026-01-24,mistral,mistral-large-latest,239,0,0.000478
2026-01-24T02:25:40.376267,2026-01-24,mistral,mistral-large-latest,249,0,0.000498
2026-01-24T02:25:41.347407,2026-01-24,mistral,mistral-large-latest,254,0,0.000508
2026-01-24T02:25:42.204830,2026-01-24,mistral,mistral-large-latest,240,0,0.000480
2026-01-24T02:25:43.091000,2026-01-24,mistral,mistral-large-latest,246,0,0.000492
2026-01-24T02:25:43.945206,2026-01-24,mistral,mistral-large-latest,238,0,0.000476
2026-01-24T02:25:44.817134,2026-01-24,mistral,mistral-large-latest,233,0,0.000466
2026-01-24T02:25:45.767736,2026-01-24,mistral,mistral-large-latest,319,0,0.000638
2026-01-24T02:25:46.711907,2026-01-24,mistral,mistral-large-latest,271,0,0.000542
2026-01-24T02:25:47.603742,2026-01-24,mistral,mistral-large-latest,291,0,0.000582
2026-01-24T02:25:48.506885,2026-01-24,mistral,mistral-large-latest,231,0,0.000462
2026-01-24T02:25:49.351282,2026-01-24,mistral,mistral-large-latest,244,0,0.000488
2026-01-24T02:26:50.408609,2026-01-24,mistral,mistral-large-latest,232,0,0.000464
2026-01-24T02:26:51.596030,2026-01-24,mistral,mistral-large-latest,222,0,0.000444
2026-01-24T02:26:52.441967,2026-01-24,mistral,mistral-large-latest,226,0,0.000452
2026-01-24T02:26:53.275711,2026-01-24,mistral,mistral-large-latest,229,0,0.000458
2026-01-24T02:26:54.140234,2026-01-24,mistral,mistral-large-latest,237,0,0.000474
2026-01-24T02:26:54.972617,2026-01-24,mistral,mistral-large-latest,235,0,0.000470
2026-01-24T02:26:55.835203,2026-01-24,mistral,mistral-large-latest,338,0,0.000676
2026-01-24T02:38:06.520904,2026-01-24,mistral,mistral-medium-latest,233,0,0.000629
2026-01-24T02:38:07.369554,2026-01-24,mistral,mistral-medium-latest,209,0,0.000564
2026-01-24T02:38:08.250869,2026-01-24,mistral,mistral-medium-latest,192,0,0.000518
2026-01-24T02:38:09.115932,2026-01-24,mistral,mistral-medium-latest,228,0,0.000616
2026-01-24T02:38:10.007629,2026-01-24,mistral,mistral-medium-latest,239,0,0.000645
2026-01-24T02:38:10.842945,2026-01-24,mistral,mistral-medium-latest,228,0,0.000616
2026-01-24T02:38:11.700413,2026-01-24,mistral,mistral-medium-latest,228,0,0.000616
2026-01-24T02:38:12.604481,2026-01-24,mistral,mistral-medium-latest,236,0,0.000637
2026-01-24T02:38:13.741483,2026-01-24,mistral,mistral-medium-latest,250,0,0.000675
2026-01-24T02:38:14.562324,2026-01-24,mistral,mistral-medium-latest,228,0,0.000616
2026-01-24T02:38:15.472942,2026-01-24,mistral,mistral-medium-latest,254,0,0.000686
2026-01-24T02:38:17.208145,2026-01-24,mistral,mistral-medium-latest,234,0,0.000632
2026-01-24T02:38:18.132072,2026-01-24,mistral,mistral-medium-latest,239,0,0.000645
2026-01-24T02:38:19.016745,2026-01-24,mistral,mistral-medium-latest,249,0,0.000672
2026-01-24T02:38:19.887383,2026-01-24,mistral,mistral-medium-latest,245,0,0.000661
2026-01-24T02:38:20.772166,2026-01-24,mistral,mistral-medium-latest,239,0,0.000645
2026-01-24T02:38:21.650235,2026-01-24,mistral,mistral-medium-latest,261,0,0.000705
2026-01-24T02:38:22.779191,2026-01-24,mistral,mistral-medium-latest,236,0,0.000637
2026-01-24T02:38:23.669256,2026-01-24,mistral,mistral-medium-latest,235,0,0.000634
2026-01-24T02:38:25.403944,2026-01-24,mistral,mistral-medium-latest,257,0,0.000694
2026-01-24T02:38:26.247664,2026-01-24,mistral,mistral-medium-latest,235,0,0.000634
2026-01-24T02:38:27.450817,2026-01-24,mistral,mistral-medium-latest,242,0,0.000653
2026-01-24T02:38:28.372690,2026-01-24,mistral,mistral-medium-latest,251,0,0.000678
2026-01-24T02:38:29.273612,2026-01-24,mistral,mistral-medium-latest,271,0,0.000732
2026-01-24T02:38:30.128322,2026-01-24,mistral,mistral-medium-latest,259,0,0.000699
2026-01-24T02:38:31.038176,2026-01-24,mistral,mistral-medium-latest,255,0,0.000689
2026-01-24T02:38:31.946977,2026-01-24,mistral,mistral-medium-latest,253,0,0.000683
2026-01-24T02:38:32.773495,2026-01-24,mistral,mistral-medium-latest,243,0,0.000656
2026-01-24T02:38:33.608698,2026-01-24,mistral,mistral-medium-latest,240,0,0.000648
2026-01-24T02:38:34.476067,2026-01-24,mistral,mistral-medium-latest,256,0,0.000691
2026-01-24T02:38:35.542861,2026-01-24,mistral,mistral-medium-latest,249,0,0.000672
2026-01-24T02:38:36.507080,2026-01-24,mistral,mistral-medium-latest,250,0,0.000675
2026-01-24T02:38:37.411605,2026-01-24,mistral,mistral-medium-latest,248,0,0.000670
2026-01-24T02:38:38.240032,2026-01-24,mistral,mistral-medium-latest,234,0,0.000632
2026-01-24T02:38:39.094979,2026-01-24,mistral,mistral-medium-latest,241,0,0.000651
2026-01-24T02:38:40.047118,2026-01-24,mistral,mistral-medium-latest,240,0,0.000648
2026-01-24T02:38:40.889716,2026-01-24,mistral,mistral-medium-latest,215,0,0.000581
2026-01-24T02:38:41.767617,2026-01-24,mistral,mistral-medium-latest,239,0,0.000645
2026-01-24T02:38:42.705644,2026-01-24,mistral,mistral-medium-latest,276,0,0.000745
2026-01-24T02:38:43.630645,2026-01-24,mistral,mistral-medium-latest,259,0,0.000699
2026-01-24T02:38:44.459329,2026-01-24,mistral,mistral-medium-latest,257,0,0.000694
2026-01-24T02:38:45.586220,2026-01-24,mistral,mistral-medium-latest,251,0,0.000678
2026-01-24T02:38:46.809332,2026-01-24,mistral,mistral-medium-latest,266,0,0.000718
2026-01-24T02:38:47.645960,2026-01-24,mistral,mistral-medium-latest,230,0,0.000621
2026-01-24T02:38:48.508229,2026-01-24,mistral,mistral-medium-latest,231,0,0.000624
2026-01-24T02:38:49.390921,2026-01-24,mistral,mistral-medium-latest,260,0,0.000702
2026-01-24T02:38:50.502580,2026-01-24,mistral,mistral-medium-latest,237,0,0.000640
2026-01-24T02:38:51.325771,2026-01-24,mistral,mistral-medium-latest,258,0,0.000697
2026-01-24T02:38:52.233594,2026-01-24,mistral,mistral-medium-latest,255,0,0.000689
2026-01-24T02:38:53.257287,2026-01-24,mistral,mistral-medium-latest,248,0,0.000670
2026-01-24T02:38:54.146923,2026-01-24,mistral,mistral-medium-latest,244,0,0.000659
2026-01-24T02:38:54.995230,2026-01-24,mistral,mistral-medium-latest,236,0,0.000637
2026-01-24T02:38:56.143412,2026-01-24,mistral,mistral-medium-latest,251,0,0.000678
2026-01-24T02:38:57.283051,2026-01-24,mistral,mistral-medium-latest,234,0,0.000632
2026-01-24T02:38:58.182430,2026-01-24,mistral,mistral-medium-latest,268,0,0.000724
2026-01-24T02:38:59.053624,2026-01-24,mistral,mistral-medium-latest,239,0,0.000645
2026-01-24T02:38:59.967176,2026-01-24,mistral,mistral-medium-latest,249,0,0.000672
2026-01-24T02:39:00.888971,2026-01-24,mistral,mistral-medium-latest,254,0,0.000686
2026-01-24T02:39:01.857413,2026-01-24,mistral,mistral-medium-latest,240,0,0.000648
2026-01-24T02:39:03.106442,2026-01-24,mistral,mistral-medium-latest,246,0,0.000664
2026-01-24T02:40:04.067060,2026-01-24,mistral,mistral-medium-latest,238,0,0.000643
2026-01-24T02:40:04.937448,2026-01-24,mistral,mistral-medium-latest,233,0,0.000629
2026-01-24T02:40:05.866689,2026-01-24,mistral,mistral-medium-latest,319,0,0.000861
2026-01-24T02:40:06.776299,2026-01-24,mistral,mistral-medium-latest,271,0,0.000732
2026-01-24T02:40:07.763855,2026-01-24,mistral,mistral-medium-latest,291,0,0.000786
2026-01-24T02:40:08.752311,2026-01-24,mistral,mistral-medium-latest,231,0,0.000624
2026-01-24T02:40:09.646545,2026-01-24,mistral,mistral-medium-latest,244,0,0.000659
2026-01-24T02:40:10.771115,2026-01-24,mistral,mistral-medium-latest,232,0,0.000626
2026-01-24T02:40:11.619256,2026-01-24,mistral,mistral-medium-latest,222,0,0.000599
2026-01-24T02:40:12.514168,2026-01-24,mistral,mistral-medium-latest,226,0,0.000610
2026-01-24T02:40:13.371712,2026-01-24,mistral,mistral-medium-latest,229,0,0.000618
2026-01-24T02:40:14.193343,2026-01-24,mistral,mistral-medium-latest,237,0,0.000640
2026-01-24T02:40:15.084230,2026-01-24,mistral,mistral-medium-latest,235,0,0.000634
2026-01-24T02:40:16.035878,2026-01-24,mistral,mistral-medium-latest,338,0,0.000913
2026-01-24T02:40:16.885150,2026-01-24,mistral,mistral-medium-latest,233,0,0.000629
